Phase_a,Phase_b,Phase_c
0.8,-0.96,0.08
0.8,-0.96,0.04
0.84,-0.92,0
0.84,-0.92,-0.04
0.84,-0.88,-0.04
0.84,-0.88,-0.08
0.88,-0.88,-0.12
0.88,-0.84,-0.12
0.88,-0.84,-0.16
0.88,-0.8,-0.2
0.88,-0.8,-0.2
0.88,-0.76,-0.24
0.88,-0.76,-0.24
0.92,-0.72,-0.28
0.92,-0.72,-0.32
0.92,-0.68,-0.32
0.92,-0.68,-0.32
0.92,-0.64,-0.4
0.92,-0.6,-0.44
0.92,-0.6,-0.44
0.92,-0.56,-0.48
0.92,-0.52,-0.52
0.92,-0.48,-0.56
0.92,-0.48,-0.56
0.92,-0.44,-0.6
0.92,-0.4,-0.64
0.92,-0.36,-0.68
0.92,-0.32,-0.72
0.92,-0.28,-0.72
0.92,-0.28,-0.76
0.88,-0.24,-0.8
0.88,-0.2,-0.8
0.88,-0.16,-0.84
0.84,-0.12,-0.84
0.84,-0.08,-0.88
0.8,-0.08,-0.88
0.8,-0.04,-0.88
0.76,0,-0.92
0.76,0,-0.92
0.76,0.04,-0.92
0.72,0.08,-0.92
0.72,0.08,-0.96
0.76,0.12,-0.96
0.76,0.16,-0.96
0.64,0.16,-0.96
0.72,0.2,-0.96
0.72,0.24,-1
0.52,0.24,-1
0.48,0.28,-1
0.48,0.32,-1
0.44,0.32,-1
0.52,0.36,-1
0.48,0.4,-1
0.44,0.44,-1
0.4,0.44,-1
0.36,0.48,-1
0.32,0.52,-1
0.28,0.56,-1
0.24,0.6,-1
0.24,0.6,-0.96
0.2,0.64,-0.96
0.16,0.68,-0.96
0.2,0.72,-0.96
0.16,0.72,-0.96
0.04,0.76,-0.96
0,0.76,-0.92
0,0.8,-0.92
-0.04,0.8,-0.92
-0.08,0.8,-0.88
-0.12,0.84,-0.88
-0.12,0.84,-0.84
-0.16,0.84,-0.84
-0.2,0.88,-0.84
-0.2,0.88,-0.8
-0.24,0.88,-0.8
-0.28,0.88,-0.76
-0.28,0.92,-0.76
-0.32,0.92,-0.72
-0.36,0.92,-0.72
-0.36,0.92,-0.72
-0.4,0.92,-0.68
-0.4,0.92,-0.68
-0.44,0.92,-0.64
-0.48,0.92,-0.6
-0.52,0.92,-0.6
-0.52,0.96,-0.56
-0.56,0.96,-0.52
-0.6,0.96,-0.48
-0.64,0.96,-0.44
-0.64,0.96,-0.44
-0.68,0.96,-0.4
-0.72,0.96,-0.36
-0.76,0.92,-0.32
-0.76,0.92,-0.28
-0.8,0.92,-0.24
-0.84,0.92,-0.24
-0.88,0.92,-0.2
-0.88,0.92,-0.16
-0.92,0.88,-0.12
-0.92,0.88,-0.08
-0.96,0.84,-0.04
-0.96,0.84,0
-0.96,0.84,0
-1,0.8,0.04
-1,0.8,0.08
-1,0.8,0.12
-1,0.76,0.12
-1.04,0.76,0.16
-1.04,0.72,0.16
-1.04,0.72,0.2
-1.04,0.68,0.24
-1.04,0.68,0.24
-1.08,0.68,0.28
-1.08,0.64,0.32
-1,0.6,0.32
-1,0.6,0.36
-1.08,0.56,0.36
-1.12,0.56,0.4
-1.16,0.52,0.44
-1.04,0.48,0.48
-1.04,0.44,0.48
-1.12,0.44,0.52
-1.08,0.4,0.56
-1.08,0.36,0.6
